Row,Motor A,Motor B
1444,-2.316000,2.316000
1445,-2.328000,2.328000
1446,-2.340000,2.340000
1447,-2.352000,2.352000
1448,-2.364000,2.364000
1449,-2.376000,2.376000
1450,-2.388000,2.388000
1451,-2.400000,2.400000
1452,-2.412000,2.412000
1453,-2.424000,2.424000
1454,-2.436000,2.436000
1455,-2.448000,2.448000
1456,-2.460000,2.460000
1457,-2.472000,2.472000
1458,-2.484000,2.484000
1459,-2.496000,2.496000
1460,-2.508000,2.508000
1461,-2.520000,2.520000
1462,-2.532000,2.532000
1463,-2.544000,2.544000
1464,-2.556000,2.556000
1465,-2.568000,2.568000
1466,-2.580000,2.580000
1467,-2.592000,2.592000
1468,-2.604000,2.604000
1469,-2.616000,2.616000
1470,-2.628000,2.628000
1471,-2.640000,2.640000
1472,-2.652000,2.652000
1473,-2.664000,2.664000
1474,-2.676000,2.676000
1475,-2.688000,2.688000
1476,-2.700000,2.700000
1477,-2.712000,2.712000
1478,-2.724000,2.724000
1479,-2.736000,2.736000
1480,-2.748000,2.748000
1481,-2.760000,2.760000
1482,-2.772000,2.772000
1483,-2.784000,2.784000
1484,-2.796000,2.796000
1485,-2.808000,2.808000
1486,-2.820000,2.820000
1487,-2.832000,2.832000
1488,-2.844000,2.844000
1489,-2.856000,2.856000
1490,-2.868000,2.868000
1491,-2.880000,2.880000
1492,-2.892000,2.892000
1493,-2.904000,2.904000
1494,-2.916000,2.916000
1495,-2.928000,2.928000
1496,-2.940000,2.940000
1497,-2.952000,2.952000
1498,-2.964000,2.964000
1499,-2.976000,2.976000
1500,-2.988000,2.988000
1501,-nan,nan
1502,-2.988000,2.988000
1503,-2.976000,2.976000
1504,-2.964000,2.964000
1505,-2.952000,2.952000
1506,-2.940000,2.940000
1507,-2.928000,2.928000
1508,-2.916000,2.916000
1509,-2.904000,2.904000
1510,-2.892000,2.892000
1511,-2.880000,2.880000
1512,-2.868000,2.868000
1513,-2.856000,2.856000
1514,-2.844000,2.844000
1515,-2.832000,2.832000
1516,-2.820000,2.820000
1517,-2.808000,2.808000
1518,-2.796000,2.796000
1519,-2.784000,2.784000
1520,-2.772000,2.772000
1521,-2.760000,2.760000
1522,-2.748000,2.748000
1523,-2.736000,2.736000
1524,-2.724000,2.724000
1525,-2.712000,2.712000
1526,-2.700000,2.700000
1527,-2.688000,2.688000
1528,-2.676000,2.676000
1529,-2.664000,2.664000
1530,-2.652000,2.652000
1531,-2.640000,2.640000
1532,-2.628000,2.628000
1533,-2.616000,2.616000
1534,-2.604000,2.604000
1535,-2.592000,2.592000
1536,-2.580000,2.580000
1537,-2.568000,2.568000
1538,-2.556000,2.556000
1539,-2.544000,2.544000
1540,-2.532000,2.532000
1541,-2.520000,2.520000
1542,-2.508000,2.508000
1543,-2.496000,2.496000
1544,-2.484000,2.484000
1545,-2.472000,2.472000
1546,-2.460000,2.460000
1547,-2.448000,2.448000
1548,-2.436000,2.436000
1549,-2.424000,2.424000
1550,-2.412000,2.412000
1551,-2.400000,2.400000
1552,-2.388000,2.388000
1553,-2.376000,2.376000
1554,-2.364000,2.364000
1555,-2.352000,2.352000
1556,-2.340000,2.340000
1557,-2.328000,2.328000
1558,-2.316000,2.316000
1559,-2.304000,2.304000
1560,-2.292000,2.292000
1561,-2.280000,2.280000
1562,-2.268000,2.268000
1563,-2.256000,2.256000
1564,-2.244000,2.244000
1565,-2.232000,2.232000
1566,-2.220000,2.220000
1567,-2.208000,2.208000
1568,-2.196000,2.196000
1569,-2.184000,2.184000
1570,-2.172000,2.172000
1571,-2.160000,2.160000
1572,-2.148000,2.148000
1573,-2.136000,2.136000
1574,-2.124000,2.124000
1575,-2.112000,2.112000
1576,-2.100000,2.100000
1577,-2.088000,2.088000
1578,-2.076000,2.076000
1579,-2.064000,2.064000
1580,-2.052000,2.052000
1581,-2.040000,2.040000
1582,-2.028000,2.028000
1583,-2.016000,2.016000
1584,-2.004000,2.004000
1585,-1.992000,1.992000
1586,-1.980000,1.980000
1587,-1.968000,1.968000
1588,-1.956000,1.956000
1589,-1.944000,1.944000
1590,-1.932000,1.932000
1591,-1.920000,1.920000
1592,-1.908000,1.908000
1593,-1.896000,1.896000
1594,-1.884000,1.884000
1595,-1.872000,1.872000
1596,-1.860000,1.860000
1597,-1.848000,1.848000
1598,-1.836000,1.836000
1599,-1.824000,1.824000
1600,-1.812000,1.812000
1601,-1.800000,1.800000
1602,-1.788000,1.788000
1603,-1.776000,1.776000
1604,-1.764000,1.764000
1605,-1.752000,1.752000
1606,-1.740000,1.740000
1607,-1.728000,1.728000
1608,-1.716000,1.716000
1609,-1.704000,1.704000
1610,-1.692000,1.692000
1611,-1.680000,1.680000
1612,-1.668000,1.668000
1613,-1.656000,1.656000
1614,-1.644000,1.644000
1615,-1.632000,1.632000
1616,-1.620000,1.620000
1617,-1.608000,1.608000
1618,-1.596000,1.596000
1619,-1.584000,1.584000
1620,-1.572000,1.572000
1621,-1.560000,1.560000
1622,-1.548000,1.548000
1623,-1.536000,1.536000
1624,-1.524000,1.524000
1625,-1.512000,1.512000
1626,-1.500000,1.500000
1627,-1.488000,1.488000
1628,-1.476000,1.476000
1629,-1.464000,1.464000
1630,-1.452000,1.452000
1631,-1.440000,1.440000
1632,-1.428000,1.428000
1633,-1.416000,1.416000
1634,-1.404000,1.404000
1635,-1.392000,1.392000
1636,-1.380000,1.380000
1637,-1.368000,1.368000
1638,-1.356000,1.356000
1639,-1.344000,1.344000
1640,-1.332000,1.332000
1641,-1.320000,1.320000
1642,-1.308000,1.308000
1643,-1.296000,1.296000
1644,-1.284000,1.284000
1645,-1.272000,1.272000
1646,-1.260000,1.260000
1647,-1.248000,1.248000
1648,-1.236000,1.236000
1649,-1.224000,1.224000
1650,-1.212000,1.212000
1651,-1.200000,1.200000
1652,-1.188000,1.188000
1653,-1.176000,1.176000
1654,-1.164000,1.164000
1655,-1.152000,1.152000
1656,-1.140000,1.140000
1657,-1.128000,1.128000
1658,-1.116000,1.116000
1659,-1.104000,1.104000
1660,-1.092000,1.092000
1661,-1.080000,1.080000
1662,-1.068000,1.068000
1663,-1.056000,1.056000
1664,-1.044000,1.044000
1665,-1.032000,1.032000
1666,-1.020000,1.020000
1667,-1.008000,1.008000
1668,-0.996000,0.996000
1669,-0.984000,0.984000
1670,-0.972000,0.972000
1671,-0.960000,0.960000
1672,-0.948000,0.948000
1673,-0.936000,0.936000
1674,-0.924000,0.924000
1675,-0.912000,0.912000
1676,-0.900000,0.900000
1677,-0.888000,0.888000
1678,-0.876000,0.876000
1679,-0.864000,0.864000
1680,-0.852000,0.852000
1681,-0.840000,0.840000
1682,-0.828000,0.828000
1683,-0.816000,0.816000
1684,-0.804000,0.804000
1685,-0.792000,0.792000
1686,-0.780000,0.780000
1687,-0.768000,0.768000
1688,-0.756000,0.756000
1689,-0.744000,0.744000
1690,-0.732000,0.732000
1691,-0.720000,0.720000
1692,-0.708000,0.708000
1693,-0.696000,0.696000
1694,-0.684000,0.684000
1695,-0.672000,0.672000
1696,-0.660000,0.660000
1697,-0.648000,0.648000
1698,-0.636000,0.636000
1699,-0.624000,0.624000
1700,-0.612000,0.612000
1701,-0.600000,0.600000
1702,-0.588000,0.588000
1703,-0.576000,0.576000
1704,-0.564000,0.564000
1705,-0.552000,0.552000
1706,-0.540000,0.540000
1707,-0.528000,0.528000
1708,-0.516000,0.516000
1709,-0.504000,0.504000
1710,-0.492000,0.492000
1711,-0.480000,0.480000
1712,-0.468000,0.468000
1713,-0.456000,0.456000
1714,-0.444000,0.444000
1715,-0.432000,0.432000
1716,-0.420000,0.420000
1717,-0.408000,0.408000
1718,-0.396000,0.396000
1719,-0.384000,0.384000
1720,-0.372000,0.372000
1721,-0.360000,0.360000
1722,-0.348000,0.348000
1723,-0.336000,0.336000
1724,-0.324000,0.324000
1725,-0.312000,0.312000
1726,-0.300000,0.300000
1727,-0.288000,0.288000
1728,-0.276000,0.276000
1729,-0.264000,0.264000
1730,-0.252000,0.252000
1731,-0.240000,0.240000
1732,-0.228000,0.228000
1733,-0.216000,0.216000
1734,-0.204000,0.204000
1735,-0.192000,0.192000
1736,-0.180000,0.180000
1737,-0.168000,0.168000
1738,-0.156000,0.156000
1739,-0.144000,0.144000
1740,-0.132000,0.132000
1741,-0.120000,0.120000
1742,-0.108000,0.108000
1743,-0.096000,0.096000
1744,-0.084000,0.084000
1745,-0.072000,0.072000
1746,-0.060000,0.060000
1747,-0.048000,0.048000
1748,-0.036000,0.036000
1749,-0.024000,0.024000
1750,-0.012000,0.012000
1751,0.000000,-0.000000
1752,0.012000,-0.012000
1753,0.024000,-0.024000
1754,0.036000,-0.036000
1755,0.048000,-0.048000
1756,0.060000,-0.060000
1757,0.072000,-0.072000
1758,0.084000,-0.084000
1759,0.096000,-0.096000
1760,0.108000,-0.108000
1761,0.120000,-0.120000
1762,0.132000,-0.132000
1763,0.144000,-0.144000
1764,0.156000,-0.156000
1765,0.168000,-0.168000
1766,0.180000,-0.180000
1767,0.192000,-0.192000
1768,0.204000,-0.204000
1769,0.216000,-0.216000
1770,0.228000,-0.228000
1771,0.240000,-0.240000
1772,0.252000,-0.252000
1773,0.264000,-0.264000
1774,0.276000,-0.276000
1775,0.288000,-0.288000
1776,0.300000,-0.300000
1777,0.312000,-0.312000
1778,0.324000,-0.324000
1779,0.336000,-0.336000
1780,0.348000,-0.348000
1781,0.360000,-0.360000
1782,0.372000,-0.372000
1783,0.384000,-0.384000
1784,0.396000,-0.396000
1785,0.408000,-0.408000
1786,0.420000,-0.420000
1787,0.432000,-0.432000
1788,0.444000,-0.444000
1789,0.456000,-0.456000
1790,0.468000,-0.468000
1791,0.480000,-0.480000
1792,0.492000,-0.492000
1793,0.504000,-0.504000
1794,0.516000,-0.516000
1795,0.528000,-0.528000
1796,0.540000,-0.540000
1797,0.552000,-0.552000
